AGAP001175,GPRCAL2,38.56,0.002233006,0.224449781,0.000117806,2,,,
AGAP001185,,134.06,0.001179795,0.229862864,0.000429201,6,core4854,,
AGAP001195,Cbp80,28.95,0.00016016,0.208875869,1.23E-05,1,,,
AGAP001205,,6.34,5.17E-06,0.173223443,4.93E-05,9,,,
AGAP001225,,4.06,0.000167081,0.197197627,0,4,,,
AGAP001245,,163.98,0.032652705,0.231380442,8.04E-05,3,core4854,core6920,
AGAP001255,,57.69,0.002656382,0.244117196,0.000772675,4,,,
AGAP001265,,90.72,0.012008128,0.235196276,6.77E-05,2,core4854,,
AGAP001275,,1.32,2.28E-05,0.181169988,0,6,,,
AGAP001285,Vps2,22.93,0.000488191,0.218671489,6.90E-07,1,,,
AGAP001315,,86.46,0.023808119,0.240654423,3.82E-05,3,core4854,,
AGAP001325,,210.52,0.012295728,0.262536952,0.001958745,5,core4854,core6920,
AGAP001335,,23.44,0.004931982,0.231973529,1.34E-05,3,,,
AGAP001345,,172.46,0.035424896,0.234369476,0.000107128,3,core4854,core6920,
AGAP001355,,172.88,0.029218921,0.23053821,0.000408768,10,core4854,core6920,
AGAP001365,,81.23,0.000326392,0.215120923,0.000132156,7,,,
AGAP001375,SRPN12,31.55,0.001416384,0.197258437,8.21E-06,13,,,
AGAP001395,,21.83,0.005183851,0.215076861,1.01E-06,3,,,
AGAP001405,,14.83,0.000207244,0.204055403,8.99E-06,4,,,
AGAP001415,,42.42,0.000352041,0.216194344,0.000108387,6,,,
AGAP001435,,14.86,0.002005731,0.213694422,2.77E-06,4,,,
AGAP001445,,82.6,0.021892552,0.234267524,1.07E-05,3,core4854,,
AGAP001455,,44.54,0.014688856,0.229290185,4.07E-06,3,,,
AGAP001475,,12.74,0.000226399,0.216107098,0,1,,,
AGAP001485,,57.49,0.011414239,0.219780048,1.65E-05,3,,,
AGAP001495,,238.7,0.047861374,0.253571508,0.000287411,3,core4854,core6920,
